time;angle1;angle2
0.00;0.00;0.00
0.05;0.00;0.00
0.10;0.00;0.00
0.15;0.00;0.00
0.20;0.00;0.00
0.25;0.00;0.00
0.30;0.00;0.00
0.35;0.00;0.00
0.40;0.00;0.00
0.45;0.00;0.00
0.50;0.00;0.00
0.55;0.00;0.00
0.60;0.00;-0.02
0.65;0.00;-0.10
0.70;0.00;-0.24
0.75;0.00;-0.40
0.80;0.00;-0.56
0.85;0.00;-0.73
0.90;0.00;-0.93
0.95;0.00;-1.12
1.00;0.00;-1.26
1.05;0.00;-1.36
1.10;0.00;-1.47
1.15;0.00;-1.62
1.20;-0.09;-1.80
1.25;-0.21;-1.96
1.30;-0.38;-2.15
1.35;-0.59;-2.27
1.40;-0.79;-2.41
1.45;-1.01;-2.46
1.50;-1.27;-2.51
1.55;-1.41;-2.60
1.60;-1.38;-2.81
1.65;-1.36;-3.07
1.70;-1.43;-3.33
1.75;-1.47;-3.58
1.80;-1.54;-3.73
1.85;-1.61;-3.81
1.90;-1.66;-3.91
1.95;-1.76;-4.10
2.00;-1.99;-4.28
2.05;-2.22;-4.43
2.10;-2.41;-4.54
2.15;-2.60;-4.59
2.20;-2.79;-4.62
2.25;-2.95;-4.73
2.30;-3.11;-4.89
2.35;-3.21;-5.13
2.40;-3.23;-5.34
2.45;-3.25;-5.46
2.50;-3.42;-5.60
2.55;-3.60;-5.69
2.60;-3.82;-5.79
2.65;-4.07;-5.81
2.70;-4.35;-5.88
2.75;-4.52;-5.99
2.80;-4.61;-6.07
2.85;-4.71;-6.14
2.90;-4.80;-6.23
2.95;-4.87;-6.32
3.00;-4.92;-6.37
3.05;-5.04;-6.42
3.10;-5.15;-6.49
3.15;-5.15;-6.54
3.20;-5.06;-6.63
3.25;-5.01;-6.58
3.30;-5.03;-6.21
3.35;-5.11;-5.55
3.40;-5.22;-4.62
3.45;-5.38;-3.49
3.50;-5.50;-2.22
3.55;-5.55;-0.84
3.60;-5.53;0.56
3.65;-5.45;1.92
3.70;-5.45;3.18
3.75;-5.64;4.26
3.80;-5.69;5.11
3.85;-5.71;5.69
3.90;-5.76;5.97
3.95;-5.85;5.95
4.00;-5.95;5.64
4.05;-5.85;5.04
4.10;-5.46;4.21
4.15;-4.82;3.16
4.20;-3.94;1.97
4.25;-2.90;0.68
4.30;-1.75;-0.61
4.35;-0.51;-1.89
4.40;0.72;-3.05
4.45;1.90;-4.08
4.50;2.97;-4.89
4.55;3.89;-5.46
4.60;4.59;-5.78
4.65;5.04;-5.79
4.70;5.25;-5.55
4.75;5.18;-5.06
4.80;4.85;-4.33
4.85;4.28;-3.40
4.90;3.51;-2.34
4.95;2.55;-1.17
5.00;1.48;0.02
5.05;0.35;1.20
5.10;-0.79;2.30
5.15;-1.87;3.26
5.20;-2.88;4.05
5.25;-3.73;4.62
5.30;-4.40;4.96
5.35;-4.85;5.01
5.40;-5.06;4.80
5.45;-5.03;4.36
5.50;-4.73;3.72
5.55;-4.22;2.90
5.60;-3.53;1.92
5.65;-2.69;0.87
5.70;-1.73;-0.21
5.75;-0.70;-1.27
5.80;0.35;-2.27
5.85;1.36;-3.16
5.90;2.30;-3.88
5.95;3.11;-4.42
6.00;3.75;-4.75
6.05;4.19;-4.83
6.10;4.40;-4.68
6.15;4.36;-4.31
6.20;4.12;-3.77
6.25;3.65;-3.04
6.30;3.02;-2.18
6.35;2.23;-1.24
6.40;1.36;-0.26
6.45;0.40;0.73
6.50;-0.54;1.68
6.55;-1.47;2.51
6.60;-2.30;3.23
6.65;-3.04;3.77
6.70;-3.63;4.10
6.75;-4.03;4.22
6.80;-4.24;4.14
6.85;-4.24;3.82
6.90;-4.05;3.33
6.95;-3.67;2.69
7.00;-3.14;1.92
7.05;-2.46;1.05
7.10;-1.69;0.14
7.15;-0.85;-0.77
7.20;0.02;-1.62
7.25;0.87;-2.39
7.30;1.68;-3.05
7.35;2.37;-3.56
7.40;2.97;-3.89
7.45;3.39;-4.05
7.50;3.63;-4.00
7.55;3.67;-3.77
7.60;3.53;-3.39
7.65;3.21;-2.85
7.70;2.74;-2.18
7.75;2.15;-1.43
7.80;1.45;-0.61
7.85;0.66;0.21
7.90;-0.12;1.01
7.95;-0.91;1.76
8.00;-1.64;2.41
8.05;-2.29;2.93
8.10;-2.83;3.30
8.15;-3.21;3.47
8.20;-3.46;3.46
8.25;-3.51;3.25
8.30;-3.40;2.88
8.35;-3.14;2.37
8.40;-2.74;1.75
8.45;-2.23;1.05
8.50;-1.62;0.28
8.55;-0.94;-0.47
8.60;-0.23;-1.20
8.65;0.49;-1.89
8.70;1.17;-2.46
8.75;1.78;-2.92
8.80;2.29;-3.21
8.85;2.69;-3.37
8.90;2.93;-3.35
8.95;3.00;-3.18
9.00;2.93;-2.88
9.05;2.69;-2.44
9.10;2.34;-1.90
9.15;1.85;-1.27
9.20;1.29;-0.61
9.25;0.68;0.09
9.30;0.02;0.75
9.35;-0.63;1.40
9.40;-1.22;1.94
9.45;-1.76;2.39
9.50;-2.23;2.72
9.55;-2.57;2.88
9.60;-2.79;2.90
9.65;-2.88;2.74
9.70;-2.81;2.46
9.75;-2.63;2.06
9.80;-2.34;1.55
9.85;-1.94;0.98
9.90;-1.47;0.35
9.95;-0.93;-0.28
10.00;-0.35;-0.89
10.05;0.23;-1.45
10.10;0.80;-1.94
10.15;1.31;-2.32
10.20;1.75;-2.60
10.25;2.09;-2.74
10.30;2.32;-2.76
10.35;2.44;-2.63
10.40;2.41;-2.39
10.45;2.25;-2.06
10.50;1.99;-1.62
10.55;1.64;-1.13
10.60;1.22;-0.59
10.65;0.73;-0.04
10.70;0.21;0.51
10.75;-0.31;0.99
10.80;-0.82;1.43
10.85;-1.27;1.78
10.90;-1.68;2.04
10.95;-1.97;2.18
11.00;-2.18;2.22
11.05;-2.29;2.13
11.10;-2.29;1.94
11.15;-2.16;1.66
11.20;-1.96;1.29
11.25;-1.66;0.87
11.30;-1.29;0.42
11.35;-0.87;-0.05
11.40;-0.42;-0.52
11.45;0.05;-0.96
11.50;0.51;-1.33
11.55;0.93;-1.64
11.60;1.31;-1.89
11.65;1.61;-2.01
11.70;1.81;-2.04
11.75;1.92;-1.96
11.80;1.90;-1.80
11.85;1.80;-1.55
11.90;1.61;-1.24
11.95;1.33;-0.87
12.00;0.99;-0.49
12.05;0.61;-0.07
12.10;0.19;0.33
12.15;-0.21;0.73
12.20;-0.61;1.08
12.25;-0.98;1.36
12.30;-1.29;1.57
12.35;-1.54;1.69
12.40;-1.69;1.71
12.45;-1.75;1.64
12.50;-1.69;1.48
12.55;-1.59;1.26
12.60;-1.40;0.98
12.65;-1.15;0.66
12.70;-0.87;0.31
12.75;-0.54;-0.04
12.80;-0.21;-0.38
12.85;0.14;-0.72
12.90;0.47;-0.99
12.95;0.79;-1.24
13.00;1.05;-1.40
13.05;1.26;-1.48
13.10;1.38;-1.48
13.15;1.43;-1.41
13.20;1.40;-1.27
13.25;1.29;-1.10
13.30;1.12;-0.87
13.35;0.89;-0.61
13.40;0.63;-0.33
13.45;0.35;-0.04
13.50;0.05;0.26
13.55;-0.24;0.52
13.60;-0.52;0.77
13.65;-0.79;0.98
13.70;-0.99;1.12
13.75;-1.15;1.20
13.80;-1.26;1.22
13.85;-1.31;1.17
13.90;-1.27;1.06
13.95;-1.20;0.93
14.00;-1.06;0.75
14.05;-0.89;0.54
14.10;-0.68;0.33
14.15;-0.44;0.09
14.20;-0.19;-0.14
14.25;0.07;-0.35
14.30;0.31;-0.56
14.35;0.54;-0.72
14.40;0.73;-0.85
14.45;0.89;-0.93
14.50;0.98;-0.94
14.55;0.99;-0.93
14.60;0.98;-0.85
14.65;0.89;-0.73
14.70;0.77;-0.59
14.75;0.63;-0.44
14.80;0.47;-0.26
14.85;0.30;-0.09
14.90;0.10;0.09
14.95;-0.07;0.26
15.00;-0.26;0.42
15.05;-0.42;0.54
15.10;-0.56;0.63
15.15;-0.66;0.66
15.20;-0.73;0.65
15.25;-0.77;0.61
15.30;-0.77;0.52
15.35;-0.73;0.44
15.40;-0.65;0.31
15.45;-0.56;0.19
15.50;-0.44;0.07
15.55;-0.30;-0.07
15.60;-0.17;-0.17
15.65;-0.04;-0.28
15.70;0.09;-0.37
15.75;0.21;-0.42
15.80;0.30;-0.44
15.85;0.35;-0.44
15.90;0.38;-0.40
15.95;0.38;-0.37
16.00;0.35;-0.30
16.05;0.31;-0.23
16.10;0.24;-0.16
16.15;0.19;-0.07
16.20;0.12;0.00
16.25;0.04;0.07
16.30;-0.02;0.12
16.35;-0.07;0.16
16.40;-0.12;0.17
16.45;-0.14;0.16
16.50;-0.14;0.16
16.55;-0.14;0.12
16.60;-0.14;0.10
16.65;-0.12;0.09
16.70;-0.10;0.05
16.75;-0.07;0.04
16.80;-0.05;0.00
16.85;-0.02;-0.02
16.90;0.00;-0.04
16.95;0.02;-0.04
17.00;0.04;-0.04
17.05;0.05;-0.04
17.10;0.05;-0.04
17.15;0.05;-0.02
17.20;0.05;-0.02
17.25;0.04;0.00
17.30;0.02;0.02
17.35;0.02;0.02
17.40;0.00;0.04
17.45;-0.02;0.04
17.50;-0.02;0.04
17.55;-0.02;0.04
17.60;-0.02;0.04
17.65;-0.02;0.04
17.70;-0.02;0.02
17.75;-0.02;0.02
17.80;0.00;0.02
17.85;0.00;0.02
17.90;0.00;0.02
17.95;0.00;0.02
18.00;0.02;0.02
18.05;0.02;0.02
18.10;0.02;0.02
18.15;0.00;0.02
18.20;0.00;0.02
18.25;0.00;0.02
18.30;0.00;0.02
18.35;0.00;0.02
18.40;0.00;0.02
18.45;0.00;0.02
18.50;0.00;0.02
18.55;0.00;0.02
18.60;0.00;0.02
18.65;0.00;0.02
18.70;0.00;0.02
18.75;0.00;0.02
18.80;0.00;0.02
18.85;0.00;0.02
18.90;0.00;0.02
18.95;0.00;0.02
19.00;0.00;0.02
19.05;0.00;0.02
19.10;0.00;0.02
19.15;0.00;0.02
19.20;0.00;0.02
19.25;0.00;0.02
19.30;0.00;0.02
19.35;0.00;0.02
19.40;0.00;0.02
19.45;0.00;0.02
19.50;0.00;0.02
19.55;0.00;0.02
19.60;0.00;0.02
19.65;0.00;0.02
19.70;0.00;0.02
19.75;0.00;0.02
19.80;0.00;0.02
19.85;0.00;0.02
19.90;0.00;0.02
19.95;0.00;0.02
20.00;0.00;0.02
20.05;0.00;0.02
20.10;0.00;0.02
20.15;0.00;0.02
20.20;0.00;0.02
20.25;0.00;0.02
20.30;0.00;0.02
20.35;0.00;0.02
20.40;0.00;0.02
20.45;0.00;0.02
20.50;0.00;0.02
20.55;0.00;0.02
20.60;0.00;0.02
20.65;0.00;0.02
20.70;0.00;0.02
20.75;0.00;0.02
20.80;0.00;0.02
20.85;0.00;0.02
20.90;0.00;0.02
20.95;0.00;0.02
21.00;0.00;0.02
21.05;0.00;0.02
21.10;0.00;0.02
21.15;0.00;0.02
21.20;0.00;0.02
21.25;0.00;0.02
21.30;0.00;0.02
21.35;0.00;0.02
21.40;0.00;0.02
21.45;0.00;0.02
21.50;0.00;0.02
21.55;0.00;0.02
21.60;0.00;0.02
21.65;0.00;0.02
21.70;0.00;0.02
21.75;0.00;0.02
21.80;0.00;0.02
21.85;0.00;0.02
21.90;0.00;0.02
21.95;0.00;0.02
22.00;0.00;0.02
22.05;0.00;0.02
22.10;0.00;0.02
22.15;0.00;0.02
22.20;0.00;0.02
22.25;0.00;0.02
22.30;0.00;0.02
22.35;0.00;0.02
22.40;0.00;0.02
22.45;0.00;0.02
22.50;0.00;0.02
22.55;0.00;0.02
22.60;0.00;0.02
22.65;0.00;0.02
22.70;0.00;0.02
22.75;0.00;0.02
22.80;0.00;0.02
22.85;0.00;0.02
22.90;0.00;0.02
22.95;0.00;0.02
23.00;0.00;0.02
23.05;0.00;0.02
23.10;0.00;0.02
23.15;0.00;0.02
23.20;0.00;0.02
